year,elections,teryt_code,powiat,gmina,political_party,n_votes,percentage
2007,sejm,020207,dzierżoniowski,"Niemcza, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,95,4.35
2007,sejm,020207,dzierżoniowski,"Niemcza, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,44,2.01
2007,sejm,020207,dzierżoniowski,"Niemcza, gm.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,437,20.01
2007,sejm,020301,głogowski,"Głogów, m.",Komitet Wyborczy Polska Partia Pracy,277,0.87
2007,sejm,020301,głogowski,"Głogów, m.",Komitet Wyborczy Liga Polskich Rodzin,346,1.08
2007,sejm,020301,głogowski,"Głogów, m.",Komitet Wyborczy Prawo i Sprawiedliwość,9753,30.55
2007,sejm,020301,głogowski,"Głogów, m.",Komitet Wyborczy Platforma Obywatelska RP,12774,40.01
2007,sejm,020301,głogowski,"Głogów, m.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,1246,3.90
2007,sejm,020301,głogowski,"Głogów, m.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,432,1.35
2007,sejm,020301,głogowski,"Głogów, m.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,7101,22.24
2007,sejm,020302,głogowski,"Głogów, gm.",Komitet Wyborczy Polska Partia Pracy,34,1.59
2007,sejm,020302,głogowski,"Głogów, gm.",Komitet Wyborczy Liga Polskich Rodzin,22,1.03
2007,sejm,020302,głogowski,"Głogów, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,792,36.99
2007,sejm,020302,głogowski,"Głogów, gm.",Komitet Wyborczy Platforma Obywatelska RP,724,33.82
2007,sejm,020302,głogowski,"Głogów, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,167,7.80
2007,sejm,020302,głogowski,"Głogów, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,67,3.13
2007,sejm,020302,głogowski,"Głogów, gm.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,335,15.65
2007,sejm,020303,głogowski,"Jerzmanowa, gm.",Komitet Wyborczy Polska Partia Pracy,11,0.89
2007,sejm,020303,głogowski,"Jerzmanowa, gm.",Komitet Wyborczy Liga Polskich Rodzin,14,1.13
2007,sejm,020303,głogowski,"Jerzmanowa, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,366,29.54
2007,sejm,020303,głogowski,"Jerzmanowa, gm.",Komitet Wyborczy Platforma Obywatelska RP,450,36.32
2007,sejm,020303,głogowski,"Jerzmanowa, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,141,11.38
2007,sejm,020303,głogowski,"Jerzmanowa, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,54,4.36
2007,sejm,020303,głogowski,"Jerzmanowa, gm.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,203,16.38
2007,sejm,020304,głogowski,"Kotla, gm.",Komitet Wyborczy Polska Partia Pracy,19,1.50
2007,sejm,020304,głogowski,"Kotla, gm.",Komitet Wyborczy Liga Polskich Rodzin,20,1.58
2007,sejm,020304,głogowski,"Kotla, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,407,32.17
2007,sejm,020304,głogowski,"Kotla, gm.",Komitet Wyborczy Platforma Obywatelska RP,434,34.31
2007,sejm,020304,głogowski,"Kotla, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,117,9.25
2007,sejm,020304,głogowski,"Kotla, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,71,5.61
2007,sejm,020304,głogowski,"Kotla, gm.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,197,15.57
